"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"pdet.alpha[7]",0.338229750883203,0.100118883664646,0.147809391177657,0.265887077452493,0.33646511820376,0.404539243741513,0.53859916915387,1.04779301192481,55
"pdet.alpha[8]",0.441156212075165,0.0413233526823782,0.357866313302512,0.413230294674458,0.441483504453605,0.469064279351528,0.518224534609377,1.00340341081056,670
"pdet.alpha[9]",0.565818227576682,0.0434367823083452,0.480173941062757,0.536660953666969,0.566187484339569,0.596244751474568,0.648432093743113,1.00193034166067,1300
"pdet.alpha[10]",0.271442436724385,0.0154152870906305,0.242773540168557,0.260554087539011,0.27096878158055,0.281998178447519,0.302256471112494,1.00947366199182,220
"pdet.alpha[11]",0.658501916848419,0.0162584886479189,0.626506642880782,0.647664041152454,0.658485875509967,0.669606610932327,0.689817493346176,1.00162263205148,1600
"pdet.alpha[12]",0.175321459420562,0.0116772485904173,0.154032656132757,0.16723180258669,0.17501576167507,0.183206320492592,0.198784529367166,1.01073457170928,240
"pdet.alpha[13]",0.737184787718211,0.0162394348673452,0.703166097470829,0.726720499391237,0.737356059694169,0.747733642208554,0.767461010595718,1.0006078578804,2500
"pdet.alpha[14]",0.269611060026867,0.054389328749712,0.170625412841184,0.230800529577518,0.268051884405702,0.304547423147955,0.382134491596751,1.05365223108957,43
"pdet.d2[1]",0.336155005797568,0.303340403563372,0.000145445878772677,0.00176599680785553,0.322490260219503,0.583292758572685,0.9152481476161,5.63167364866067,3
"pdet.d2[2]",0.36547576280149,0.318683511810726,0.000161864730723295,0.000880980643614313,0.373914152135995,0.640529915031223,0.929230233372636,9.45203509772816,3
"pdet.d2[3]",0.336729735898631,0.304548121197385,6.09188312895327e-05,0.000688689016513033,0.322895333230594,0.586055229071242,0.907648975482846,7.0561159952654,3
"pdet.d2[4]",0.259825998919568,0.26954612667168,4.43843675841722e-06,0.000749996896468986,0.195122108652234,0.449421427672451,0.871499537046435,4.34125637994364,3
"pdet.d2[5]",0.332929254649572,0.308131906930709,8.085035789564e-05,0.000914799917278923,0.304169753484282,0.590427386911386,0.918842900063634,6.95628544966972,3
"pdet.d2[6]",0.645083520520346,0.19815726961477,0.202821538794649,0.516649022351218,0.663424466779209,0.798619591834827,0.952764934876153,1.08461404479585,250
"pdet.d2[7]",0.320131002567257,0.0970064368623563,0.139654171796912,0.250856111445267,0.317927519884536,0.385104806972777,0.518710930681589,1.04657341051981,57
